image_path,caption,width,height,similarity,punsafe,pwatermark,aesthetic_score,clipscore
data/laion_aesthetic_subset\000003.jpg,"luzfosca:  Elliott Erwitt New York City, 1955 [via Everyday_I_Show] Thanks to liquidnight",701.0,1024.0,0.3361671566963196,0.0001050412320182,0.5464707016944885,6.675719738006592,0.3425756
data/laion_aesthetic_subset\000004.jpg,Eiffel Tower - Milky Way Collage  HD Metal print with Floating Frame on Back,884.0,1286.0,0.373616874217987,1.1641466699074954e-05,0.2897757589817047,6.850852489471436,0.38382587
data/laion_aesthetic_subset\000006.jpg,Denise Richards - denise-richards Wallpaper,500.0,313.0,0.3635512590408325,0.9840842485427856,0.2927301824092865,6.526858806610107,0.3443822
data/laion_aesthetic_subset\000007.jpg,Milky Way at Crater Lake by Keith Marsh,491.0,350.0,0.3577539622783661,1.760749228196801e-06,0.3538172543048858,7.037345886230469,0.3584016
data/laion_aesthetic_subset\000008.jpg,"George Hurrell, Master of Hollywood Glamour Photography -Hedy Lamarr 1938",236.0,293.0,0.332832783460617,0.0015994906425476,0.3349076807498932,6.546855926513672,0.32453358
data/laion_aesthetic_subset\000010.jpg,"Mark Daly's Flags, Presidents Day, Fifth Avenue, Oil, 24 x 20. Available at Rehs Galleries.",655.0,800.0,0.3691658675670624,3.738526288543653e-07,0.8430168628692627,6.749521732330322,0.3329174
data/laion_aesthetic_subset\000011.jpg,White Sand Dunes New Mexico One by Bill Swindaman,526.0,350.0,0.327728807926178,9.460550813855662e-07,0.3062649071216583,6.572916507720947,0.32768247
data/laion_aesthetic_subset\000012.jpg,Colorful Neon City 4k,300.0,200.0,0.3385277390480041,0.0010815262794494,0.1021337360143661,6.528256893157959,0.34134936
data/laion_aesthetic_subset\000018.jpg,"Picture space, night, rendering, fiction, planet, Northern lights, pyramid, pond, Egyptian",596.0,380.0,0.3648839294910431,0.0012520551681518,0.7943233251571655,6.559447765350342,0.33987078
data/laion_aesthetic_subset\000022.jpg,CANVAS 1940s Pin-Up Girl in the Yellow Dress Picture Art print POSTER,475.0,679.0,0.3117697238922119,0.000851422548294,0.185261845588684,6.517694473266602,0.3448534
data/laion_aesthetic_subset\000024.jpg,"Derek Penix, French Harbor, oil painting",600.0,500.0,0.3308541178703308,3.168927287333645e-05,0.0903845578432083,6.747560977935791,0.32046533
data/laion_aesthetic_subset\000037.jpg,"Aoraki / Mount Cook National Park, New Zealand",1500.0,2250.0,0.3451451659202575,1.944162977451924e-05,0.0774098709225654,6.6569905281066895,0.34727806
data/laion_aesthetic_subset\000039.jpg,Picture no: 11967054 Dolomiten-2 Created by: danielschoenen,449.0,300.0,0.323837012052536,1.9539400454959832e-05,0.1131750866770744,6.731750965118408,0.3282442
data/laion_aesthetic_subset\000044.jpg,"Dubrovnik Croatia, Pearl of the Adriatic Sea - Limited Edition Fine Art Print - Original Painting available",340.0,270.0,0.3680119514465332,2.529214270907687e-06,0.49378103017807,6.547765254974365,0.36047497
data/laion_aesthetic_subset\000045.jpg,"Watercolour painting tutorial, Christmas Snow with figures",600.0,415.0,0.3463840782642364,5.707387913389539e-07,0.1143297329545021,6.682719707489014,0.33871257
data/laion_aesthetic_subset\000047.jpg,An Alpine Meadow Switzerland Painting,712.0,900.0,0.3259519934654236,1.851636056926509e-06,0.497620016336441,6.857698440551758,0.34731898
data/laion_aesthetic_subset\000060.jpg,"In her short life, mathematician Emmy Noether changed the",860.0,460.0,0.3330539464950561,0.0015829205513,0.3846669793128967,6.63150691986084,0.3482864
data/laion_aesthetic_subset\000062.jpg,"Valentine Fabre on the Grand Pilier d'Angle summit ridge to Mont Blanc, Italy",599.0,394.0,0.3264155685901642,1.8325850760447796e-05,0.089788444340229,6.736827850341797,0.3233927
data/laion_aesthetic_subset\000067.jpg,"Mount Fujisan beautiful landscapes on sunset. Fujiyoshida, Japan at Chureito Pagoda and Mt. Fuji in the spring with cherry blossoms.",450.0,303.0,0.3320557773113251,3.660229049273767e-05,0.322830855846405,6.598846912384033,0.34233084
data/laion_aesthetic_subset\000068.jpg,"Protesters burn as they stand behind  barricades during clashes with police on February 20, 2014 in Kiev.",2560.0,1664.0,0.3328602910041809,0.0001492798328399,0.0545271076261997,6.518420696258545,0.33666804
data/laion_aesthetic_subset\000080.jpg,Red Tuscan Sunrise With Poppy Field Painting by Cecilia Brendel,900.0,735.0,0.3662499785423279,9.129191312240437e-06,0.5,6.588068962097168,0.33827546
data/laion_aesthetic_subset\000081.jpg,Fotoväggar - owl on winter dark forest background,360.0,240.0,0.3012831807136535,2.671198126336094e-05,0.239683911204338,6.550650596618652,0.333821
data/laion_aesthetic_subset\000089.jpg,Henry Clay and Helen Frick,1468.0,2000.0,0.3300396800041199,2.1324988210835727e-06,0.1277228146791458,6.830728054046631,0.3178739
data/laion_aesthetic_subset\000092.jpg,Inspiration for one of the historical chapters in Precious Things: Anna May Wong in the 1930s,291.0,378.0,0.3386761546134949,0.0265154540538787,0.2700229287147522,6.617313385009766,0.3362048
data/laion_aesthetic_subset\000102.jpg,"""""""books0977: Peaceful Reading. Fernand Toussaint (Belgian, 1873-1956). Oil on panel. According to Mario de Monchi, Toussaint was the """"""""incontestable master of the grace and charm of the woman."""""""" His classical artistic schooling in drawing gave his work a certain precision, but it was Toussaint's travels and friendships that influenced his choice of palette and the tender sensuality with which he endowed the paintings he most loved creating, his portraits of women.""""""",500.0,602.0,0.3344998657703399,5.763496665167622e-05,0.0484010614454746,6.663705825805664,0.34674624
data/laion_aesthetic_subset\000103.jpg,Anonymous - Boy in Staw Hat in Garden,402.0,550.0,0.3473258912563324,3.1872655199549627e-06,0.0479470044374465,6.511592864990234,0.32161275
data/laion_aesthetic_subset\000113.jpg,Pablo Picasso: Yousuf Karsh,476.0,600.0,0.3652879595756531,2.172498398067546e-06,0.2646559178829193,6.79747200012207,0.33729282
data/laion_aesthetic_subset\000115.jpg,Daniel Ridgway Knight Women Washing Clothes by a Stream Art Painting,834.0,706.0,0.3512984812259674,7.511090370826423e-05,0.2213501632213592,6.72551965713501,0.35982418
data/laion_aesthetic_subset\000117.jpg,Paris 1000 Piece Puzzle | Peter Pauper Press| - STEAM Kids Brisbane,1024.0,735.0,0.34681236743927,0.0001045219105435,0.1279633045196533,7.057303428649902,0.32845902
data/laion_aesthetic_subset\000119.jpg,"""""""Cyclist on a Narrow Street (Lucca) by James Crandall Oil ~ 30"""""""" x 24""""""""""""""",236.0,296.0,0.3527776002883911,4.509779955697013e-06,0.0443605780601501,6.65296745300293,0.35206044
data/laion_aesthetic_subset\000120.jpg,Winter Wonderland by Brenda Beck Fisher,479.0,350.0,0.3142609894275665,2.7195908387511736e-06,0.2916713953018188,6.547839164733887,0.32166645
data/laion_aesthetic_subset\000126.jpg,Vladimir Dal by Vasily Perov Russia and the Arts - The Age of Tolstoy and Tchaikovsky,500.0,580.0,0.3344827890396118,2.4671805931575364e-06,0.2379154115915298,6.6134796142578125,0.32611153
data/laion_aesthetic_subset\000130.jpg,275 Piece Chickadee Tea Easy Handling Puzzle,480.0,480.0,0.380040556192398,1.0199200005445164e-05,0.0828956738114357,6.552215576171875,0.35024095
data/laion_aesthetic_subset\000133.jpg,hyperrealistic pencil drawings by Emanuele Dascanio (17),800.0,534.0,0.3370712101459503,1.9632756448118016e-05,0.0957124680280685,6.5210862159729,0.33036256
data/laion_aesthetic_subset\000137.jpg,Trona Pinnacles Milky Way Photography,640.0,960.0,0.3367001116275787,1.3005970686208457e-05,0.1221338361501693,6.561639308929443,0.32436568
data/laion_aesthetic_subset\000140.jpg,The Wanderer Above The Sea Of Clouds by Caspar David Friedrich,237.0,300.0,0.3429955840110779,2.369025241932832e-05,0.2241439074277877,6.530876636505127,0.35060242
data/laion_aesthetic_subset\000141.jpg,"Old Man of Storr, Isle of Skye",400.0,267.0,0.3539271354675293,3.7155987229198217e-06,0.0689622089266777,6.812436580657959,0.35386854
data/laion_aesthetic_subset\000143.jpg,"Spring Color, Carrizo Plain National Monument, California.jpg",512.0,288.0,0.3476568162441253,8.776770300755743e-06,0.2367474734783172,6.630510330200195,0.32837313
data/laion_aesthetic_subset\000145.jpg,A landscape made by man and nature_ farming in the Palouse,600.0,382.0,0.3595462441444397,1.0029247277998364e-05,0.3888995349407196,6.5878777503967285,0.33577213
data/laion_aesthetic_subset\000146.jpg,Rainy Day at Piazza San Marco | American Legacy Fine Arts,1024.0,812.0,0.3705484569072723,2.732752761858137e-07,0.0638158246874809,6.7117462158203125,0.34128305
data/laion_aesthetic_subset\000147.jpg,"SLEEPY HOLLOW: Orlando Jones as Captain Frank Irving. SLEEPY HOLLOW Season Two premieres Monday, Sept. 22 (9:00-10:00 PM ET/PT) on FOX. ©2014 Fox Broadcasting Co. CR: David Johnson/FOX",430.0,297.0,0.337690532207489,5.127309123054147e-05,0.3248272240161896,6.780270099639893,0.33367592
data/laion_aesthetic_subset\000149.jpg,"In de dag Bamboe Bamboo Forest. Asian woman wearing japanese traditional kimono at Bamboo Forest in Kyoto, Japan.",500.0,333.0,0.3171785175800323,0.0001982748508453,0.0935134217143058,6.574042320251465,0.3324147
data/laion_aesthetic_subset\000151.jpg,M&S: autumn collection campaign features Dame Helen Mirren and Tracey Emin,640.0,427.0,0.3192752599716186,0.1089948117733001,0.1173914968967437,6.623659610748291,0.32632107
data/laion_aesthetic_subset\000153.jpg,Woodland Solitude by Charles Courtney Curran,350.0,536.0,0.327098935842514,3.03388515021652e-06,0.156711146235466,6.631260871887207,0.3342092
data/laion_aesthetic_subset\000156.jpg,"The Nut Gatherers, 1882 William-Adolphe Bouguereau",1280.0,854.0,0.3428271114826202,6.010276410961524e-05,0.3702745139598846,6.537927627563477,0.33105975
data/laion_aesthetic_subset\000157.jpg,"Reine Village, Norwegian Sea, light, winter, Mountains, Lofoten, Norway, Houses",2048.0,1365.0,0.3286276757717132,4.488977083383361e-06,0.1227002069354057,6.629114151000977,0.33932722
data/laion_aesthetic_subset\000159.jpg,Japanese Americans standing in line in front of a poster detailing internment orders in California.,390.0,288.0,0.3467029333114624,1.1877970791829284e-05,,6.520456314086914,0.33421707
data/laion_aesthetic_subset\000161.jpg,"Montana, Glacier, Glacier Park, Glacier National Park, Oberlin, sunset, mountain",1600.0,1067.0,0.3431025743484497,8.591728715146019e-07,0.2319530248641967,6.536548137664795,0.325742
data/laion_aesthetic_subset\000163.jpg,Rating: Safe Score: 82 Tags: 41y love_live! nishikino_maki wedtaro User: 椎名深夏,232.0,300.0,0.3321908712387085,0.0003467202186584,0.0963218882679939,6.665172100067139,0.3194109
data/laion_aesthetic_subset\000166.jpg,Roots - For Childish Gambino by Sam Spratt,640.0,640.0,0.3756352663040161,1.3452779967337848e-05,0.3680167198181152,6.777626037597656,0.35425544
data/laion_aesthetic_subset\000170.jpg,Arnold Newman photograph of Pablo Picasso,595.0,766.0,0.3721882700920105,2.373457573412452e-05,0.3098669946193695,6.829939365386963,0.33837357
data/laion_aesthetic_subset\000171.jpg,Christmas Cottage by Thomas Kincaid,465.0,350.0,0.3407643437385559,1.6015263099689037e-05,0.2436349689960479,6.728919506072998,0.33894563
data/laion_aesthetic_subset\000176.jpg,Watercolor painting of the Vrgin River in Zion National Park,214.0,320.0,0.3616357743740082,3.15717740839716e-09,0.2027788162231445,6.632841110229492,0.33536923
data/laion_aesthetic_subset\000179.jpg,Southwest Acrylic Painting Door With Peppers,1184.0,1600.0,0.3101288974285126,1.7521319023217075e-05,0.0410084500908851,6.587238311767578,0.33796474
data/laion_aesthetic_subset\000183.jpg,"An image of Snow in Shiba Park, Tokyo by KAWASE Hasui",504.0,333.0,0.3760677278041839,1.3104033769195669e-06,0.1958710104227066,6.897673606872559,0.3585998
data/laion_aesthetic_subset\000195.jpg,"Kirkjufell, Iceland by Peter OReilly",270.0,270.0,0.3269094824790954,1.2811458418582331e-06,0.151590809226036,6.722451686859131,0.33556384
data/laion_aesthetic_subset\000196.jpg,bureau valley martinique quot the totem pole quot by wojciech dabrowski monument valley,474.0,314.0,0.3252112865447998,1.3633234630106015e-05,0.2731208503246307,6.530735492706299,0.32656926
data/laion_aesthetic_subset\000200.jpg,David Heywood 'Urban cyclist' Original Watercolour,800.0,1298.0,0.3647989928722381,4.769697170559084e-07,0.1193121001124382,6.725838661193848,0.35259935
data/laion_aesthetic_subset\000210.jpg,"The Young Shepherdess,1885 | Bouguereau | San Diego Museum of Art California USA",236.0,519.0,0.351132333278656,0.0001129084848798,0.6415697336196899,6.510247230529785,0.3366284
data/laion_aesthetic_subset\000211.jpg,French Actor Guillaume Canet,500.0,666.0,0.3586692214012146,0.0083078145980834,0.0468691922724247,6.608951091766357,0.35593924
data/laion_aesthetic_subset\000212.jpg,"Lowell Ellsworth Smith (American, 1924-2008) Church at Lamy, New Mexico, 1984",320.0,222.0,0.3003843426704407,1.988521773910179e-07,0.0874247699975967,6.905690670013428,0.31823847
data/laion_aesthetic_subset\000215.jpg,"Fashion Model in Gold Dress, Beauty Woman Posing over Flying Waving Cloth, Girl with Yellow Dynamic Silk Fabric Foto de archivo",450.0,257.0,0.3566917777061462,0.1540539264678955,0.1362788379192352,6.749664783477783,0.3407115
data/laion_aesthetic_subset\000216.jpg,"""Richard J. Oliver """"James and the Giant Peach"""" Limited Edition Canvas Giclee""",600.0,598.0,0.3254011571407318,1.5426925529027358e-05,0.1324950009584427,6.669619083404541,0.32211158
data/laion_aesthetic_subset\000218.jpg,Diego rivera s battle of detroit world socialist web site for Diego riveras mural,640.0,374.0,0.3391733765602112,9.777608283911832e-06,1.0,6.544558048248291,0.3197957
data/laion_aesthetic_subset\000221.jpg,"Jan Matejko, Self-portrait, 1892",1409.0,2048.0,0.3325025141239166,5.5035779951140285e-06,0.0649070441722869,6.887479305267334,0.3275509
data/laion_aesthetic_subset\000222.jpg,Great Wall Panorama by Peter Lik,360.0,242.0,0.3409581184387207,3.0018800316611305e-05,0.1191860809922218,6.674562931060791,0.32469693
data/laion_aesthetic_subset\000224.jpg,1927... The Law Student - Norman Rockwell | Flickr - Photo Sharing!,493.0,640.0,0.3400702774524688,1.2666676411754452e-05,0.0807015895843505,6.649753570556641,0.34024298
data/laion_aesthetic_subset\000229.jpg,"Portrait of Helena Mayer, Fencer -1935",461.0,600.0,0.3621285855770111,4.816247383132577e-07,0.1881989389657974,6.641968250274658,0.34849447
data/laion_aesthetic_subset\000239.jpg,Art Prints of Mount McKinley from the Tokositna River by Sydney Laurence,500.0,249.0,0.3666900396347046,2.13210725519275e-07,0.1540848761796951,6.677045822143555,0.3310734
